workerid,bin_00,trial_type,binOrder,bin_30,bin_20,bin_90,color,bin_70,bin_60,trialNum,bin_10,bin_50,bin_40,context,bin_80,part,rt,category
12,0.2,binnedHistogram,lo2hi,0.19,0.17,0.12,red,0.1,0.15,11,0.17,0.14,0.15,danger-distinct,0.13,feathers,16242,noobs
13,0,binnedHistogram,lo2hi,0,0,0,green,0,0,0,0,0,0,danger-distinct,0,teeth,112368,zoovs
13,0.46,binnedHistogram,lo2hi,0,0,0,silver,0,0,1,0,0,0,bare,0,fur,64144,morseths
13,0.03,binnedHistogram,lo2hi,0.01,0.03,0.97,gold,0.01,0.01,2,0.02,0.01,0.02,bare,0.01,stripes,50351,daiths
13,0,binnedHistogram,lo2hi,0,0,0.81,pink,0,0,3,0,0,0,nondistinctive,0,ears,54075,elleps
13,0.2,binnedHistogram,lo2hi,0.01,0.01,0.01,copper,0,0.01,4,0.01,0.01,0.01,danger-distinct,0.01,fur,44861,kweps
13,0.01,binnedHistogram,lo2hi,0.01,0.01,0.88,purple,0.01,0.01,5,0.01,0,0,danger-distinct,0.01,feathers,36642,lorches
13,0.02,binnedHistogram,lo2hi,0.01,0.01,0.88,purple,0.01,0.02,6,0.01,0.02,0,bare,0.01,tails,26727,taifels
13,0.01,binnedHistogram,lo2hi,0,0,0.99,orange,0,0,7,0.01,0,0,bare,0,tails,46527,zorbs
13,0.01,binnedHistogram,lo2hi,0.01,0.01,0.91,gold,0.01,0.01,8,0.01,0.01,0.01,nondistinctive,0.02,spots,36902,stups
13,0.01,binnedHistogram,lo2hi,0,0,0.01,pink,0.01,0.01,9,0.02,0,0,danger-distinct,0.01,legs,40105,feps
13,0.01,binnedHistogram,lo2hi,0.01,0.01,0.86,red,0.02,0.01,10,0.01,0.01,0.01,nondistinctive,0.03,scales,27129,blins
13,0.03,binnedHistogram,lo2hi,0.02,0.02,0.88,orange,0.02,0.01,11,0.02,0.01,0.01,nondistinctive,0.02,shells,30443,luzaks
14,0.84,binnedHistogram,lo2hi,0.16,0.58,0,copper,0.03,0.18,0,0.23,0.16,0.15,danger-distinct,0,spots,27970,glippets
14,0.2,binnedHistogram,lo2hi,0.74,0.76,0.24,gold,0.24,0.23,1,0.7,0.2,0.73,nondistinctive,0.24,feathers,24387,plovs
14,0.14,binnedHistogram,lo2hi,0.65,0.52,0.01,silver,0.91,0.92,2,0.59,1,0.71,bare,0.74,legs,15911,ackles
14,0.06,binnedHistogram,lo2hi,0.05,0,0.73,yellow,0.78,0.77,3,0,0.51,0,danger-distinct,0.77,fur,24472,ollers
14,0.95,binnedHistogram,lo2hi,0,0.03,0,silver,0.02,0.02,4,0,0,0,danger-distinct,0.03,stripes,19074,frams
14,0.04,binnedHistogram,lo2hi,0.38,0,0,orange,0,0,5,0.02,0.54,0.53,nondistinctive,0,tails,16724,zorbs
14,0.84,binnedHistogram,lo2hi,0.11,0.09,0.11,purple,0.12,0.12,6,0.45,0.09,0.1,danger-distinct,0.14,tails,14220,taifels
14,0.9,binnedHistogram,lo2hi,0.22,0.23,0.05,silver,0,0.04,7,0.27,0.04,0.06,nondistinctive,0.05,fur,15624,morseths
14,0.01,binnedHistogram,lo2hi,0.02,0.04,0.46,red,0.47,0.81,8,0.02,0.87,0.76,bare,0.4,feathers,18058,noobs
14,0,binnedHistogram,lo2hi,0.02,0.03,0.87,orange,0.21,0.03,9,0.04,0,0.03,bare,0.91,ears,13428,kazzes
14,0.04,binnedHistogram,lo2hi,0.04,0.04,0.72,blue,0.73,0.75,10,0.06,0.74,0.62,bare,0.73,ears,13461,cheebas
14,0.68,binnedHistogram,lo2hi,0.02,0.27,0.06,gold,0.05,0.03,11,0.38,0.02,0.06,nondistinctive,0.04,spots,18519,stups
15,0.82,binnedHistogram,lo2hi,0.34,0.47,0.04,purple,0.1,0.13,0,0.65,0.2,0.25,danger-distinct,0.07,tails,105798,taifels
15,0.87,binnedHistogram,lo2hi,0.36,0.45,0.08,green,0.12,0.16,1,0.63,0.23,0.26,danger-distinct,0.1,teeth,67907,zoovs
15,0.91,binnedHistogram,lo2hi,0.41,0.56,0.06,green,0.1,0.15,2,0.74,0.19,0.31,danger-distinct,0.1,tails,29140,trufts
15,0.04,binnedHistogram,lo2hi,0.6,0.36,0.05,red,0.37,0.61,3,0.19,0.88,0.88,nondistinctive,0.2,scales,63256,blins
15,0.91,binnedHistogram,lo2hi,0.34,0.5,0.08,blue,0.13,0.17,4,0.71,0.22,0.27,danger-distinct,0.11,ears,25641,cheebas
